s_id,direction,lane,lat,long,month,dailytraffic
570122,3,1,30.75492,86.61436,1,122510
146,5,2,33.380724,86.814663,1,231752
102313,5,2,34.422704,112.251503,1,73546
41,7,1,30.879812,90.78624,1,222815
146,5,2,34.1748,79.041467,1,231752
102313,5,1,34.422704,112.251503,1,161409
146,5,2,46.716519,117.00295,1,231752
570122,3,2,30.75492,86.61436,1,100712
102313,1,2,34.422704,112.251503,1,76996
102255,1,1,36.995992,112.530322,1,56442
148,5,1,33.04224,84.94972,1,448929
570167,7,1,30.41028,86.79598,1,640506
102242,5,1,36.14093,109.6042,1,72940
102225,1,1,32.74875,109.7163,1,109738
150,1,2,33.501766,86.789381,1,489246
102219,5,1,31.922545,109.822144,1,16213
102219,1,1,31.922545,109.822144,1,16002
150,1,2,45.343704,116.350776,1,489246
102210,7,1,34.061466,109.196159,1,13134
40,7,1,39.56391,75.02871,1,17083
570219,5,2,30.5506,86.49924,1,72143
150,1,3,33.501766,86.789381,1,294227
102210,3,1,34.061466,109.196159,1,11910
150,5,1,32.609401,84.11901,1,334474
102199,7,1,34.518524,109.451938,1,4077
150,5,1,33.501766,86.789381,1,334474
102199,3,1,34.518524,109.451938,1,3782
40,7,1,34.42665,84.1198,1,17083
102195,7,1,35.46821,111.787,1,9474
150,5,1,45.343704,116.350776,1,334474
102195,3,1,35.46821,111.787,1,9600
150,5,2,33.501766,86.789381,1,514354
102189,7,1,35.208768,111.648597,1,173177
150,5,2,45.343704,116.350776,1,514354
570219,5,1,30.5506,86.49924,1,172105
102333,7,0,38.232627,104.319144,1,75737
40,7,2,31.126292,85.068173,1,62007
102225,5,1,32.74875,109.7163,1,109420
102242,1,1,36.14093,109.6042,1,74494
148,5,1,33.424235,86.747597,1,448929
41,3,1,30.879812,90.78624,1,249503
102238,5,1,35.193543,109.437315,1,13049
148,5,1,34.980958,80.978358,1,448929
102238,1,1,35.193543,109.437315,1,10900
570167,7,2,30.41028,86.79598,1,488558
148,5,1,46.960706,116.930856,1,448929
148,5,2,33.04224,84.94972,1,515013
102236,5,1,34.58932,109.329504,1,5814
148,5,2,33.424235,86.747597,1,515013
570219,1,1,30.5506,86.49924,1,153402
102236,1,1,34.58932,109.329504,1,5938
148,5,2,34.980958,80.978358,1,515013
148,5,3,33.04224,84.94972,1,410700
148,5,3,33.424235,86.747597,1,410700
570219,1,2,30.5506,86.49924,1,85228
102230,5,1,32.942284,109.233924,1,81638
150,1,1,32.609401,84.11901,1,377231
102230,1,1,32.942284,109.233924,1,54775
150,1,1,33.501766,86.789381,1,377231
150,1,1,45.343704,116.350776,1,377231
560093,5,1,35.356717,90.497,1,11830
146,1,2,34.1748,79.041467,1,303724
102801,1,1,40.49493,103.257655,1,10950
43,1,2,44.22765,106.68272,1,101462
550349,1,3,30.62344,84.1703,1,515
103490,1,3,37.56026,120.92085,1,695919
141,5,4,33.404744,86.791701,1,94506
143,1,1,34.1748,79.041467,1,162296
143,1,1,42.5036,109.5917,1,162296
143,1,1,45.160011,111.678428,1,162296
143,1,1,61.152491,149.855617,1,162296
43,1,2,35.140817,81.313481,1,101462
550349,5,1,30.62344,84.1703,1,254719
143,1,2,61.152491,149.855617,1,182490
143,1,3,61.152491,149.855617,1,123826
143,5,1,34.1748,79.041467,1,160753
143,5,1,42.5036,109.5917,1,160753
143,5,1,45.160011,111.678428,1,160753
143,5,1,61.152491,149.855617,1,160753
43,1,2,31.773508,85.924979,1,101462
550349,5,2,30.62344,84.1703,1,114219
143,5,2,61.152491,149.855617,1,182939
143,5,3,61.152491,149.855617,1,93241
144,1,1,33.437863,86.823686,1,692759
141,5,3,33.404744,86.791701,1,212336
103490,1,2,37.56026,120.92085,1,642578
103490,5,4,37.56026,120.92085,1,677355
141,5,2,33.404744,86.791701,1,596032
43,5,1,37.8399,82.0063,1,174930
550304,7,2,30.49693,84.2691,1,424896
141,1,1,34.66717,83.43325,1,280292
103648,1,0,38.776392,104.783326,1,366009
141,1,2,33.404744,86.791701,1,383384
141,1,2,34.1748,79.041467,1,383384
43,5,1,36.097146,86.01861,1,174930
550304,7,3,30.49693,84.2691,1,189565
103608,5,0,39.619877,104.820091,1,769215
141,1,3,33.404744,86.791701,1,425973
141,1,4,33.404744,86.791701,1,310112
103608,1,0,39.619877,104.820091,1,706802
141,5,1,33.404744,86.791701,1,429904
43,5,1,35.140817,81.313481,1,174930
550349,1,1,30.62344,84.1703,1,242743
103490,5,6,37.56026,120.92085,1,440453
141,5,1,34.1748,79.041467,1,429904
141,5,1,34.66717,83.43325,1,429904
103490,5,5,37.56026,120.92085,1,617244
43,5,1,31.773508,85.924979,1,174930
550349,1,2,30.62344,84.1703,1,120477
141,5,2,34.1748,79.041467,1,596032
102189,3,1,35.208768,111.648597,1,217632
144,1,1,33.85299,83.45111,1,692759
550376,3,1,30.37544,84.24942,1,96237
43,1,1,36.097146,86.01861,1,195444
550376,7,2,30.37544,84.24942,1,104401
144,5,1,61.55381,149.244671,1,619096
102840,5,2,37.086928,120.999063,1,33869
144,5,2,33.437863,86.823686,1,633995
144,5,2,34.1748,79.041467,1,633995
102840,5,1,37.086928,120.999063,1,32532
144,5,3,33.437863,86.823686,1,569839
43,1,1,35.140817,81.313481,1,195444
550376,7,3,30.37544,84.24942,1,122349
102840,1,4,37.086928,120.999063,1,40553
144,5,3,34.1748,79.041467,1,569839
102840,1,3,37.086928,120.999063,1,35396
146,1,1,33.380724,86.814663,1,267657
146,1,1,34.1748,79.041467,1,267657
43,1,1,31.773508,85.924979,1,195444
560093,1,1,35.356717,90.497,1,33979
102801,5,1,40.49493,103.257655,1,10861
146,1,1,46.716519,117.00295,1,267657
560093,1,2,35.356717,90.497,1,11522
146,1,2,33.380724,86.814663,1,303724
102850,1,1,37.12857,121.03133,1,258524
43,1,1,45.281249,111.226114,1,195444
144,5,1,46.046,108.467,1,619096
144,5,1,34.1748,79.041467,1,619096
144,1,1,34.1748,79.041467,1,692759
103490,1,1,37.56026,120.92085,1,428703
144,1,1,46.046,108.467,1,692759
103387,7,0,39.853353,104.917366,1,1355319
43,1,1,44.684505,116.051731,1,195444
550376,3,2,30.37544,84.24942,1,107482
144,1,1,61.55381,149.244671,1,692759
144,1,2,33.437863,86.823686,1,638916
103387,3,0,39.853353,104.917366,1,1369585
144,1,2,34.1748,79.041467,1,638916
43,1,1,44.22765,106.68272,1,195444
550376,3,3,30.37544,84.24942,1,85001
144,1,3,33.437863,86.823686,1,546343
103011,7,0,39.545419,107.66151,1,285788
144,5,1,33.437863,86.823686,1,619096
103011,3,0,39.545419,107.66151,1,290195
144,5,1,33.85299,83.45111,1,619096
43,1,1,37.8399,82.0063,1,195444
550376,7,1,30.37544,84.24942,1,68373
102850,5,2,37.12857,121.03133,1,7429
102850,5,1,37.12857,121.03133,1,7374
102850,1,2,37.12857,121.03133,1,297300
40,7,1,31.126292,85.068173,1,17083
150,5,3,33.501766,86.789381,1,257162
152,1,1,32.64835,83.60868,1,133572
39,1,2,31.863279,87.746896,1,34513
102044,7,2,32.842641,109.740995,1,142584
580330,3,1,30.85991,86.88602,1,44867
156,5,1,33.548273,86.828503,1,59268
102044,7,1,32.842641,109.740995,1,118947
156,5,1,44.163,105.44475,1,59268
102044,3,2,32.842641,109.740995,1,105957
156,5,2,31.8879,82.60414,1,182586
39,1,2,30.782845,91.348434,1,34513
580330,7,1,30.85991,86.88602,1,43964
156,5,2,33.548273,86.828503,1,182586
102044,3,1,32.842641,109.740995,1,161128
156,5,2,44.163,105.44475,1,182586
101947,7,1,34.132818,109.265133,1,10697
156,5,3,33.548273,86.828503,1,239718
101947,3,1,34.132818,109.265133,1,10793
39,1,1,48.268577,112.5321,1,110024
156,5,4,33.548273,86.828503,1,290025
156,5,5,33.548273,86.828503,1,234473
101928,7,1,34.209063,110.077557,1,18333
158,1,1,33.39744,84.55165,1,12227
156,5,1,31.8879,82.60414,1,59268
101928,3,1,34.209063,110.077557,1,18725
156,1,5,33.548273,86.828503,1,179239
156,1,4,33.548273,86.828503,1,262725
102076,5,1,36.20022,111.3934,1,42619
39,5,1,33.97013,83.39231,1,43077
580251,3,1,30.69357,86.80592,1,72054
156,1,1,33.548273,86.828503,1,96994
102076,1,1,36.20022,111.3934,1,41590
156,1,1,44.163,105.44475,1,96994
580251,7,1,30.69357,86.80592,1,71500
102073,5,1,35.606402,111.524677,1,87405
156,1,2,31.8879,82.60414,1,177967
39,5,1,31.863279,87.746896,1,43077
102073,1,1,35.606402,111.524677,1,84338
156,1,2,33.548273,86.828503,1,177967
102068,5,2,35.25933,111.5513,1,62966
580285,1,1,30.89257,87.16548,1,24741
156,1,2,35.328797,85.163594,1,177967
156,1,2,44.163,105.44475,1,177967
102068,5,1,35.25933,111.5513,1,79432
39,5,1,30.782845,91.348434,1,43077
156,1,3,33.548273,86.828503,1,256900
102068,1,2,35.25933,111.5513,1,51354
580285,5,1,30.89257,87.16548,1,25896
102068,1,1,35.25933,111.5513,1,87810
156,1,1,31.8879,82.60414,1,96994
